Song,Lyrics
ME! (feat. Brendon Urie of Panic! At The Disco),
Maroon,"[Verse 1]
When the morning came
We were cleaning incense off your vinyl shelf
'Cause we lost track of time again
Laughing with my feet in your lap
Like you were my closest friend
""How'd we end up on the floor, anyway?"" you say
""Your roommate's cheap-ass screw-top rosé, that's how""
I see you every day now
[Chorus]
And I chose you
The one I was dancing with
In New York, no shoes
Looked up at the sky and it was
The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was
The mark thеy saw on my collarbone
The rust that grew bеtween telephones
The lips I used to call home
So scarlet, it was maroon
[Verse 2]
When the silence came
We were shaking, blind and hazy
How the hell did we lose sight of us again?
Sobbing with your head in your hands
Ain't that the way shit always ends?
You were standing hollow-eyed in the hallway
Carnations you had thought were roses, that's us
I feel you, no matter what
The rubies that I gave up
[Chorus]
And I lost you
The one I was dancing with
In New York, no shoes
Looked up at the sky and it was (Maroon)
The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was (Maroon)
The mark they saw on my collarbone
The rust that grew between telephones
The lips I used to call home
So scarlet, it was maroon
[Bridge]
And I wake with your memory over me
That's a real fucking legacy, legacy (It was maroon)
And I wake with your memory over me
That's a real fucking legacy to leave
[Chorus]
The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was maroon
The mark they saw on my collarbone
The rust that grew between telephones
The lips I used to call home
So scarlet, it was maroon
[Outro]
It was maroon
It was maroon"
Mastermind,"[Verse 1]
Once upon a time, the planets and the fates
And all the stars aligned
You and I ended up in the same room
At the same time
[Pre-Chorus]
And the touch of a hand lit the fuse
Of a chain reaction of countermoves
To assess the equation of you
Checkmate, I couldn't lose
[Chorus]
What if I told you none of it was accidental?
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all by dеsign
'Cause I'm a mastermind
[Verse 2]
You see, all the wisеst women
Had to do it this way
'Cause we were born to be the pawn
In every lover's game
[Pre-Chorus]
If you fail to plan, you plan to fail
Strategy sets the scene for the tale
I'm the wind in our free-flowing sails
And the liquor in our cocktails
[Chorus]
What if I told you none of it was accidental?
And the first night that you saw me
I knew I wanted your body
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all my design
'Cause I'm a mastermind
[Bridge]
No one wanted to play with me as a little kid
So I've been scheming like a criminal ever since
To make them love me and make it seem effortless
This is the first time I've felt the need to confess
And I swear
I'm only cryptic and Machiavellian
'Cause I care
[Chorus]
So I told you none of it was accidental
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Saw a wide smirk on your face
You knew the entire time
You knew that I'm a mastermind
And now you're mine
Yeah, all you did was smile
'Cause I'm a mastermind"
Mean (Taylor's Version),"[Verse 1]
You, with your words like knives
And swords and weapons that you use against me
You have knocked me off my feet again
Got me feelin' like a nothing
You, with your voice like nails on a chalkboard
Calling me out when I'm wounded
You, pickin' on the weaker man
[Pre-Chorus]
Well, you can take me down
With just one single blow
But you don't know what you don't know
[Chorus]
Someday, I'll be livin' in a big ole city
And all you're ever gonna be is mean
Someday, I'll be big enough so you can't hit me
And all you're ever gonna be is mean
Why you gotta be so mean?
[Verse 2]
You, with your switching sides
And your wildfire lies and your humiliation
You have pointed out my flaws again
As if I don't already see them
I walk with my head down, trying to block you out
'Cause I'll never impress you
I just wanna feel okay again
[Pre-Chorus]
I bet you got pushed around
Somebody made you cold
But the cycle ends right now
'Cause you can't lead me down that road
And you don't know what you don't know
[Chorus]
Someday, I'll be livin' in a big ole city
And all you're ever gonna be is mean
Someday, I'll be big enough so you can't hit me
And all you're ever gonna be is mean
Why you gotta be so mean?
[Bridge]
And I can see you years from now in a bar
Talking over a football game
With that same big, loud opinion, but nobody's listening
Washed up and ranting about the same ole bitter things
Drunk and grumbling on about how I can't sing
But all you are is mean
[Buildup]
All you are is mean
And a liar, and pathetic
And alone in life, and mean
And mean, and mean, and mean
[Chorus]
But someday, I'll be livin' in a big ole city
And all you're ever gonna be is mean, yeah
Someday, I'll be big enough so you can't hit me
And all you're ever gonna be is mean
Why you gotta be so mean?
Someday, I'll be livin' in a big ole city
(Why you gotta be so mean?)
And all you're ever gonna be is mean
(Why you gotta be so mean?)
Someday, I'll be big enough so you can't hit me
(Why you gotta be so mean?)
And all you're ever gonna be is mean
Why you gotta be so mean?"
Message In A Bottle (Taylor's Version) (From The Vault),"[Verse 1]
I know that you like me
And it's kinda frightenin' standin' here waitin', waitin'
And I became hypnotized
By freckles and bright eyes, tongue-tied
[Pre-Chorus]
But now, you're so far away and I'm down
Feelin' like a face in the crowd
I'm reachin' for you, terrified
[Chorus]
'Cause you could be the one that I love
I could be the one that you dream of
A message in a bottle is all I can do
Standin' here, hopin' it gets to you
You could be the one that I keep, and I
I could be the reason you can't sleep at night
A mеssage in a bottle is all I can do
Standin' herе, hopin' it gets to you
[Verse 2]
These days I'm restless
Workdays are endless, look how you made me, made me
But time moves faster
Replayin' your laughter, disaster
[Pre-Chorus]
'Cause now, you're so far away and I'm down
Feelin' like a face in the crowd
I'm reachin' for you, terrified, 'cause
[Chorus]
'Cause you could be the one that I love
I could be the one that you dream of
A message in a bottle is all I can do
Standin' here, hopin' it gets to you (It gets to you)
You could be the one that I keep, and I (Ah)
I could be the reason you can't sleep at night (At)
A message in a bottle is all I can do
Standin' here, hopin' it gets to you
[Bridge]
How is it in London? (London)
Where were you while I'm wonderin' (Wonderin')
If I'll ever see you again?
You could be the one that I love, mm-mm
And now I'm standin' here, hopin' it gets to you
[Chorus]
'Cause you could be the one that I love (Yeah, yeah)
I could be the one that you dream of (Of)
A message in a bottle is all I can do
Standin' here, hopin' it gets to you (It gets to you)
You could be the one that I keep, and I
I could be the reason you can't sleep at night (I can't sleep at night)
A message in a bottle is all I can do (Yeah, yeah)
Standin' here, hopin' it gets to you (Yeah, yeah)
[Outro]
(Love) You could be the one that I love
(Love) You could be the one that I love
(Love) My love
And now I'm standin' here, hopin' this gets to you"
Midnight Rain,"[Intro]
Rain
He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight
[Verse 1]
My town was a wasteland
Full of cages, full of fences
Pageant queens and big pretenders
But for some, it was paradise
My boy was a montage
A slow-motion, love potion
Jumping off things in the ocean
I broke his heart 'cause he was nice
He was sunshine, I was midnight rain
[Chorus]
He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight
[Verse 2]
It came like a postcard
Picture perfect shiny family
Holiday peppermint candy
But for him, it's every day
So I peered through a window
A deep portal, time travel
All the love we unravel
And the life I gave away
'Cause he was sunshine, I was midnight rain
[Chorus]
He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight rain
He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight
[Outro]
I guess sometimes we all get
Just what we wanted, just what we wanted
And he never thinks of me
Except for when I'm on TV
I guess sometimes we all get
Some kind of haunted, some kind of haunted
And I never think of him
Except on midnights like this
(Midnights like this, midnights like this)"
Mine (Taylor's Version),"[Intro]
Ah-ah, ah-ah
Ah-ah, ah-ah
[Verse 1]
You were in college working part-time, waiting tables
Left a small town, never looked back
I was a flight risk with a fear of falling
Wondering why we bother with love if it never lasts
[Pre-Chorus]
I say, ""Can you believe it?""
As we're lying on the couch
The moment I could see it
Yes, yes, I can see it now
[Chorus]
Do you remember, we were sitting there by the water?
You put your arm around me for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine
[Verse 2]
Flash forward and we're taking on the world together
And there's a drawer of my things at your place
You learn my secrets and you figure out why I'm guarded
You say we'll never make my parents' mistakes
[Pre-Chorus]
But we got bills to pay
We got nothing figured out
When it was hard to take
Yes, yes, this is what I thought about
[Chorus]
Do you remember, we were sitting there by the water?
You put your arm around me for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine
Do you remember all the city lights on the water?
You saw me start to believe for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine
[Post-Chorus]
Oh-oh, oh
[Bridge]
And I remember that fight, 2:30 AM
As everything was slipping right out of our hands
I ran out crying and you followed me out into the street
Braced myself for the goodbye
'Cause it's all I've ever known
Then you took me by surprise
You said, ""I'll never leave you alone"" (Oh)
[Chorus]
You said, ""I remember how we felt sitting by the water
And every time I look at you, it's like the first time
I fell in love with a careless man's careful daughter
She is the best thing that's ever been mine""
[Post-Chorus]
Hold on, make it last
Hold on, never turn back
(Hold on) You made a rebel of a careless man's careful daughter
(Hold on) You are the best thing that's ever been mine
[Outro]
Do you believe it? (Yeah, yeah, yeah)
We're gonna make it now (Yeah, yeah, yeah)
And I can see it (Yeah, yeah)
I can see it now"
Miss Americana & The Heartbreak Prince,
My Boy Only Breaks His Favorite Toys,"[Verse 1]
Oh, here we go again
The voices in his head
Called the rain to end our days of wild
The sickest army doll
Purchased at the mall
Rivulets descend my plastic smile
[Pre-Chorus]
But you should've seen him when he first got me
[Chorus]
My boy only breaks his favorite toys, toys, oh
I'm queen of sand castles he destroys, oh, oh
'Cause it fit too right, puzzle pieces in the dead of night
I should've known it was a matter of time, oh, oh
My boy only breaks his favorite toys, oh, oh
[Verse 2]
There was a litany of reasons why
We could've playеd for keeps this time
I know I'm just repeating mysеlf
Put me back on my shelf
But first, pull the string
And I'll tell you that he runs
Because he loves me (He loves me)
[Pre-Chorus]
'Cause you should've seen him when he first saw me
[Chorus]
My boy (My boy), only breaks his favorite toys, toys, oh
I'm queen (I'm queen), of sand castles he destroys, oh, oh
'Cause I knew too much, there was danger in the heat of my touch
He saw forever, so he smashed it up, oh, oh
My boy (My boy), only breaks his favorite toys, oh, oh
[Bridge]
(Oh-oh-oh, oh-oh-oh) Once I fix me
(Oh-oh-oh, oh-oh-oh) He's gonna miss me
(Oh-oh-oh, oh-oh-oh) Once I fix me
(Oh-oh-oh, oh-oh-oh) He's gonna miss me
[Outro]
Just say when, I'd play again
He was my best friend down at the sandlot
I felt more when we played pretend
Than with all the Kens
'Cause he took me out of my box
Stole my tortured heart
Left all these broken parts
Told me I'm better off
But I'm not
I'm not, I'm not"
Never Grow Up (Taylor's Version),"[Verse 1]
Your little hand's wrapped around my finger
And it's so quiet in the world tonight
Your little eyelids flutter 'cause you're dreaming
So I tuck you in, turn on your favorite nightlight
[Pre-Chorus]
To you, everything's funny
You got nothing to regret
I'd give all I have, honey
If you could stay like that
[Chorus]
Oh, darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh, darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
I won't let nobody hurt you
Won't let no one break your heart
And no one will desert you
Just try to never grow up
[Post-Chorus]
And never grow up
[Verse 2]
You're in the car, on the way to the movies
And you're mortified your mom's droppin' you off
At fourteen, there's just so much you can't do
And you can't wait to move out someday and call your own shots
[Pre-Chorus]
But don't make her drop you off around the block
Remember that she's gettin' older, too
And don't lose the way that you dance around
In your PJs getting ready for school
[Chorus]
Oh, darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh, darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
And no one's ever burned you
Nothing's ever left you scarred
And even though you want to
Just try to never grow up
[Bridge]
Take pictures in your mind of your childhood room
Memorize what it sounded like when your dad gets home
Remember the footsteps, remember the words said
And all your little brother's favorite songs
I just realized everything I have is, someday, gonna be gone
[Verse 3]
So, here I am in my new apartment
In a big city, they just dropped me off
It's so much colder than I thought it would be
So I tuck myself in and turn my nightlight on
[Chorus]
Wish I'd never grown up
Wish I'd never grown up
Oh, I don't wanna grow up
Wish I'd never grown up, I could still be little
Oh, I don't wanna grow up
Wish I'd never grown up, it could still be simple
Oh, darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh, darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
I won't let nobody hurt you (Never grow up)
Won't let no one break your heart
And even though you want to
Please, try to never grow up
[Outro]
Oh, oh (Never grow up)
Just never grow up
Oh (Never grow up)
Just never grow up"
New Romantics (Taylor's Version),"[Verse 1]
We're all bored, we're all so tired of everything
We wait for trains that just aren't comin'
We show off our different scarlet letters
Trust me, mine is better
We're so young, but we're on the road to ruin
We play dumb, but we know exactly what we're doin'
We cry tears of mascara in the bathroom
Honey, life is just a classroom
Ah-ah-ah-ah-ah-ah
[Chorus]
'Cause, baby, I could build a castle
Out of all the bricks they threw at me
And evеry day is like a battle
But evеry night with us is like a dream
Baby, we're the new romantics, come on, come along with me
Heartbreak is the national anthem, 
we sing it proudly
We are too busy dancin
' to get knocked off our feet
Baby, we're the new romantics
The best people in life are free
[Verse 2]
We're all here, the lights and noise are blinding
We hang back, it's all in the timing
I
t's poker, he can't see it in my face
But I'm about to play my Ace, ah
We need love, but all we want is danger
We team up, then switch sides like a record changer
The rumors are terrible and cruel
But, honey, most of them are true
Ah-ah-ah-ah-ah-ah
[Chorus]
'Cause, baby, I could build a castle
Out of all the bricks they threw at me
And every day is like a battle
But every night with us is like a dream
Baby, we're the new romantics, come on, come along with me
Heartbreak is the national anthem, we sing it proudly
We are too busy dancin' (Yeah) to get knocked off our feet (Hey)
Baby, we're the new romantics
The best people in life are free
[Post-Chorus]
(Oh, oh, oh-oh, oh) Oh
(Oh, oh, oh-oh, oh) So, come on, come along with me
(Oh, oh, oh-oh, oh) The best people in life are free
(Oh, oh, oh-oh, oh)
[Bridge]
Please, take my hand and
Please, take me dancin' and
Please, leave me stranded
It's so romantic (It's so romantic)
Ah-ah-ah-ah-ah-ah
[Chorus]
'Cause, baby, I could build a castle (Oh, baby, I could build a castle)
Out of all the bricks they threw at me (At me)
And every day is like a battle (Oh)
But every night with us is like a dream (Is like a dream)
'Cause baby, I could build a castle (Castle)
Out of all the bricks they threw at me
And every day is like a battle (And every day is like a battle, oh)
But every night with us is like a dream
Baby, we're the new romantics, come on, come along with me
Heartbreak is the national anthem, we sing it proudly
We are too busy dancin' (Hey) to get knocked off our feet
Baby, we're the new romantics
The best people in life are free"
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),
Now That We Don't Talk (Taylor's Version) (From The Vault),"[Verse 1]
You went to a party
I heard from everybody
You part the crowd like the Red Sea
Don't even get me started
Did you get anxious though
On the way home?
I guess I'll never, ever know
Now that we don't talk
[Verse 2]
You grew your hair long
You got new icons
And from the outside
It looks like you're tryin' lives on
I miss the old ways
You didn't have to change
But I guess I don't have a say
Now that we don't talk
[Chorus]
I call my mom, she said that it was for the best
Remind myself, the morе I gave, you'd want me less
I cannot bе your friend, so I pay the price of what I lost
And what it cost, now that we don't talk
[Bridge]
What do you tell your friends we
Shared dinners, long weekends with?
Truth is, I can't pretend it's
Platonic, it's just ended, so
[Chorus]
I call my mom, she said to get it off my chest (Off my chest)
Remind myself the way you faded 'til I left ('Til I left)
I cannot be your friend, so I pay the price of what I lost (Of what I lost)
And what it cost, now that we don't talk
[Outro]
I don't have to pretend I like acid rock
Or that I'd like to be on a mega yacht
With important men who think important thoughts
Guess maybe I am better off now that we don't talk
And the only way back to my dignity
Was to turn into a shrouded mystery
Just like I had been when you were chasing me
Guess this is how it has to be now that we don't talk"
Ours (Taylor’s Version),"[Verse 1]
Elevator buttons and morning air
Strangers' silence makes me want to take the stairs
If you were here, we'd laugh about their vacant stares
But right now, my time is theirs
Seems like there's always someone who disapproves
They'll judge it like they know about me and you
And the verdict comes from those with nothing else to do
The jury's out, but my choice is you
[Chorus]
So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
T
he stakes are high, the water's rough
But this love is ours
[Verse 2]
You never know what people have up their sleeves
Ghosts from your past gonna jump out at me
Lurking in the shadows with their lip gloss smiles
But I don't care, 'cause right now, you're mine
And you'll say
[Chorus]
Don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
The stakes are high, the water's rough
But this love is ours
[Bridge]
And it's not theirs to speculate if it's wrong and
Your hands are tough, but they are where mine belong and
I'll fight their doubt and give you faith with this song for you
'Cause I love the gap between your teeth
And I love the riddles that you speak
And any snide remarks from my father about your tattoos
Will be ignored, 'cause my heart is yours
[Chorus]
So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
Don't you worry your pretty little mind
People throw rocks at things that shine
But they can't take what's ours
They can't take what's ours
The stakes are high, the water's rough
But this love is ours"
Out Of The Woods (Taylor's Version),"[Verse 1]
Looking at it now
It all seems so simple
We were lying on your couch
I remember
You took a Polaroid of us
Then discovered (Then discovered)
The rest of the world was black and white
But we were in screaming color
And I remember thinkin'
[Chorus]
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
(Are we out of the woods?)
[Verse 2]
Looking at it now
Last December (Last December)
We were built to fall apart
And fall back together (Back together)
Ooh, your necklace hanging from my neck
The night we couldn't quite forget
When we decided, we decided
To move the furniture so we could dance
Baby, like we stood a chance
Two paper airplanes flying, flying, flying
And I remember thinkin'
[Chorus]
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet? (Oh)
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
(Are we out of the woods?)
[Bridge]
Remember when you hit the brakes too soon?
Twenty stitches in the hospital room
When you started crying, baby, I did too
But when the sun came up, I was lookin' at you
Remember when we couldn't take the heat?
I walked out, I said, ""I'm settin' you free""
But the monsters turned out to be just trees
When the sun came up, you were lookin' at me
You were lookin' at me, oh, you were looking at me
(
Are we out of the woods yet? Are we out of the woods yet?
)
(
Are we out of the woods yet? Are we out of the woods?
)
I remember
(
Are we in the clear yet? Are we in the clear yet?
)
(
Are we in the clear yet, in the clear yet? Good
)
Oh, I remember
[Chorus]
Are we out of the woods yet? Are we out of the woods yet? (Yeah)
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet? (Say, are we?)
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah)
Are we in the clear yet, in the clear yet? Good (Clear yet? Good)
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good (Do you remember?)
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good"
Paper Rings,"[Verse 1]
The moon is high
Like your friends were the night that we first met
Went home and tried to stalk you on the internet
Now I've read all of the books beside your bed
The wine is cold
Like the shoulder that I gave you in the street
Cat and mouse for a month or two or three
Now I wake up in the night and watch you breathe
[Pre-Chorus]
(Ayy)
Kiss me once 'cause you know I had a long night (Oh)
Kiss me twice 'cause it's gonna be alright (Uh)
Three times 'cause I waited my whole life (One, two, one, two, three, four)
[Chorus]
I like shiny things, but I'd marry you with paper rings
Uh-huh, that's right
Darling, you're the one I want, and
I hate accidents, except when we went from friends to this
Uh-huh, that's right
Darling, you're the one I want
In paper rings, in picture frames, in dirty dreams
Oh, you're the one I want
[Verse 2]
In the winter, in the icy outdoor pool
When you jumped in first, I went in too
I'm with you even if it makes me blue
Which takes me back
To the color that we painted your brother's wall
Honey, without all the exes, fights and flaws
We wouldn't be standing here so tall, so
[Pre-Chorus]
(Ayy)
Kiss you once 'cause I know you had a long night (Oh)
Kiss you twice 'cause it's gonna be alright (Uh)
Three times 'cause you waited your whole life (One, two, one, two, three, four)
Ah
[Chorus]
I like shiny things, but I'd marry you with paper rings
Uh-huh, that's right
Darling, you're the one I want, and
I hate accidents, except when we went from friends to this
Uh-huh, that's right
Darling, you're the one I want
In paper rings, in picture frames, in dirty dreams
Oh, you're the one I want
[Bridge]
I want to drive away with you
I want your complications too
I want your dreary Mondays
Wrap your arms around me, baby boy
I want to drive away with you
I want your complications too
I want your dreary Mondays
Wrap your arms around me, baby boy
Uh-huh
[Chorus]
I like shiny things, but I'd marry you with paper rings
Ah-ah, that's right, you're the one I want
I hate accidents, except when we went from friends to this
Ah-ah, darling, you're the one I want
I like shiny things, but I'd marry you with paper rings
Uh-huh, that's right
Darling, you're the one I want, and
I hate accidents, except when we went from friends to this
Uh-huh, that's right
Darling, you're the one I want
In paper rings, in picture frames, in all my dreams
You're the one I want
In paper rings, in picture frames, in all my dreams
Oh, you're the one I want
[Outro]
You're the one I want, one I want
You're the one I want, one I want"
Paris,"[Verse 1]
""Your ex-friend's sister
Met someone at a club and he kissed her
Turns out, it was that guy you hooked up with ages ago
Some wannabe Z-lister
And all the outfits were terrible
2003 unbearable
Did you see the photos?""
No, I didn't, but thanks, though
[Pre-Chorus]
I'm so in love that I might stop breathing
Drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
Stumbled down pretend alleyways
Cheap wine, make believe it's champagne
I was taken by the view
[Chorus]
Like we were in Paris
Like we were somewhere else
Like we were in Paris, oh
We were somewhere else
[Verse 2]
Privacy sign on the door
And on my page and on the whole world
Romance is not dead if you keep it just yours
Levitate above all the messes made
Sit quiet by my side in the shade
And not the kind that's thrown
I mean, the kind under where a tree has grown
[Pre-Chorus]
I'm so in love that I might stop breathing
Drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
Stumbled down pretend alleyways
Cheap wine, make believe it's champagne
I was taken by the view
[Chorus]
Like we were in Paris, oh
Like we were somewhere else
Like we were in Paris, oh
We were somewhere else
[Bridge]
I wanna brainwash you
Into loving me forever
I wanna transport you
To somewhere the culture's clever
Confess my truth
In swooping, sloping, cursive letters
Let the only flashing lights be the tower at midnight
In my mind
[Breakdown]
We drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
In an alleyway, drinking champagne
[Chorus]
'Cause we were in Paris
Yes, we were somewhere else
My love, we were in Paris
Yes, we were somewhere else"
Question...?,"[Intro]
I remember
[Verse 1]
Good girl, sad boy
Big city, wrong choices
We had one thing goin' on
I swear that it was somethin'
'Cause I don't remember who I was
Before you painted all my nights
A color I've searched for since
But one thing after another
Fuckin' situations, circumstances
Miscommunications, and I
Have to say, by the way
I just may like some explanations
[Chorus]
Can I ask you a question?
Did you ever have someone kiss you in a crowded room
And every single one of your friends was makin' fun of you
But fifteen seconds later, thеy were clappin' too?
Then what did you do?
Did you lеave her house in the middle of the night? Oh
Did you wish you'd put up more of a fight, oh
When she said it was too much?
Do you wish you could still touch her?
It's just a question
[Verse 2]
Half-moon eyes, bad surprise
Did you realize out of time?
She was on your mind with some dickhead guy
That you saw that night
But you were on somethin'
It was one drink after another
Fuckin' politics and gender roles
And you're not sure and I don't know
Got swept away in the gray
I just may like to have a conversation
[Chorus]
Can I ask you a question?
Did you ever have someone kiss you in a crowded room
And every single one of your friends was makin' fun of you
But fifteen seconds later, they were clappin' too?
Then what did you do?
Did you leave her house in the middle of the night? Oh
Did you wish you'd put up more of a fight, oh
When she said it was too much?
Do you wish you could still touch her?
It's just a question
[Bridge]
Does it feel like everything's just like
Second best after that meteor strike?
And what's that that I heard? That you're still with her?
That's nice, I'm sure that's what's suitable
And right, but tonight
[Chorus]
Can I ask you a question? (Can I ask you a question?)
Did you ever have someone kiss you in a crowded room (In a crowded room)
And every single one of your friends was makin' fun of you (Makin' fun of you)
But fifteen seconds later, they were clappin' too?
Then what did you do? (Do)
Did you leave her house in the middle of the night? Oh
Did you wish you'd put up more of a fight, oh (More of a fight)
When she said it was too much?
Do you wish you could still touch her?
It's just a question"
Red (Taylor's Version),"[Verse 1]
Loving him is like driving a new Maserati down a dead-end street
Faster than the wind, passionate as sin, ending so suddenly
Loving him is like trying to change your mind once you're already flying through the free fall
Like the colors in autumn, so bright just before they lose it all
[Chorus]
Losing him was blue like I'd never known
Missing him was dark gray, all alone (Woah)
Forgetting him was like tryin' to know somebody you never met
But loving him was red (Red, red)
(Red, red)
But loving him was red (Red, red)
(Red, red)
[Verse 2]
Touching him was like realizing all you ever wanted was right there in front of you
Memorizing him was as easy as knowing all the words to your old favorite song
Fighting with him was like trying to solve a crossword and realizing there's no right answer
Regretting him was like wishing you never found out that love could be that strong
[Chorus]
Losing him was blue like I'd never known
Missing him was dark gray, all alone (Woah)
Forgetting him was like tryin' to know somebody you never met
But loving him was red (Red, red)
Oh, red (Red, red)
Burning red (Red, red)
(Red, red)
[Bridge]
Remembering him comes in flashbacks and echoes
Tell myself it's time now, gotta let go
But moving on from him is impossible when I still see it all in my head
In burning red
Burning, it was red
[Chorus]
Oh, losing him was blue like I'd never known
Missing him was dark gray, all alone (Woah)
Forgetting him was like tryin' to know somebody you never met
'Cause loving him was red (Red, red)
Yeah, yeah, red (Red, red)
Oh, burning red (Red, red)
(Red, red)
[Post-Chorus]
And that's why he's spinning 'round in my head (Red, red)
Comes back to me, burning red (Red, red)
(Red, red)
Yeah, yeah (Red, red)
[Outro]
His love was like driving a new Maserati down a dead-end street"
Ronan (Taylor's Version),"[Verse 1]
I remember your bare feet down the hallway
I remember your little laugh
Race cars on the kitchen floor, plastic dinosaurs
I love you to the Moon and back
I remember your blue eyes lookin' into mine
Like we had our own secret club
I remember you dancin' before bedtime
Then jumpin' on me, waking me up
I can still feel you hold my hand, little man
And even 
the moment I knew
You fought it hard like an army guy
Remember I leaned in and whispered to you
[Chorus]
""Come on, baby, with me
We're gonna fly away from here
You were my best four years""
[Verse 2]
I remember the drive home when the blind hope
Turned to cryin' and screamin', ""Why?""
Flowers pile up in the worst way, no one knows what to say
About a beautiful boy who died
And it's about to be Halloween, you could be anything
You wanted if you were still here
I remember the last day when I kissed your face
And whispered in your ear
[Chorus]
""Come on, baby, with me
We're gonna fly away from here
Out of this curtained room and this hospital gray
We'll just disappear
Come on, baby, with me
We're gonna fly away from here
You were my best four years""
[Bridge]
What if I'm standin' in your closet trying to talk to you?
And what if I kept the hand-me-downs you won't grow into?
And what if I really thought some miracle would see us through?
And what if the miracle was even gettin' one moment with you?
[Chorus]
Come on, baby, with me
We're gonna fly away from here
Come on, baby, with me
We're gonna fly away from here
You were my best four years
[Outro]
I remember your bare feet down the hallway
I love you to the Moon and back"
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),
Sad Beautiful Tragic (Taylor's Version),"[Verse 1]
Long handwritten notes deep in your pocket
Words, how little they mean when you're a little too late
I stood right by the tracks, your face in a locket
Good girls, hopeful they'll be and long they will wait
[Chorus]
We had a beautiful, magic love there
What a sad, beautiful, tragic love affair
[Verse 2]
In dreams, I meet you in warm conversation
And we both wake in lonely beds and different cities
And time is taking its sweet time erasing you
And you've got your demons and, darlin', they all look like me
[Chorus]
'Cause wе had a beautiful, magic love therе
What a sad, beautiful, tragic love affair
[Post-Chorus]
Woah, woah, woah, oh
[Bridge]
Distance, timin', breakdown, fighting
Silence, the train runs off its tracks
Kiss me, try to fix it, 
could you just try to listen?
Hang up, give up and, for the life of us, we can't get back
[Chorus]
A beautiful, magic love there
What a sad, beautiful, tragic, beautiful, tragic, beautiful
What we had, a beautiful, magic love there
What a sad, beautiful, tragic love affair
We had a beautiful, magic love there
What a sad, beautiful, tragic love affair"
